Sr_No,Date,Startup_Name,Domain,Idea_Type,Target_Market,Min_Budget_INR,Max_Budget_INR,Ideal_Team_Size,Market_Demand_Score,Competition_Level,Growth_Rate_Pct,Technical_Complexity,Execution_Difficulty,Environmental_Impact,Social_Impact_Score,Sustainability_Score,Success_Rate,Risk_Level,Failure_Reasons,City_Location,Lead_Investor,Investment_Stage,Amount_INR,Year
30,13/01/2024,KnowledgeHub Labs,EdTech,Ed Games,Rural,3000000,30000000,5,71,High,18.3,Low,60,Low,83,72,28,Medium,High CAC,Pune,Accel,Seed,148026963,2024
31,02/09/2025,StoryTell Platform,Media/Entertainment,Podcast,Youth,20000000,500000000,15,81,High,16.0,Medium,56,Low,74,55,27,High,Content cost,Delhi,Lightspeed,Seed,151760415,2025
32,26/04/2025,CreatorHub India,Media/Entertainment,Gaming,Tier 2,5000000,500000000,5,75,High,24.0,Medium,61,Low,68,55,23,High,Content cost,Delhi,Lightspeed,Series A,882381574,2025
33,06/12/2025,DataPulse AI,SaaS/Technology,Cybersecurity,Startups,10000000,500000000,5,91,High,22.7,High,68,Low,70,87,36,Medium,Long sales cycles,Hyderabad,Sequoia,Series D,10153534452,2025
34,11/10/2024,SecureNet Hub,SaaS/Technology,No-Code Builder,SMB,500000,500000000,15,88,High,28.0,High,58,Low,65,78,41,Medium,Pricing pressure,Pune,Lightspeed,Series C,9832358800,2024
35,04/11/2025,GoldLink Plus,FinTech,Wealth Management,Bangalore,500000,20000000,20,86,High,28.6,Medium,70,Low,90,79,40,Medium,High competition from incumbents,Gurugram,Tiger Global,Series D,39651655855,2025
36,02/09/2024,AudioWorld Labs,Media/Entertainment,Podcast,Pan-India,20000000,120000000,5,82,High,24.3,Medium,59,Low,70,61,23,High,Monetisation difficulty,Hyderabad,Matrix,Series C,7417057172,2024
37,09/10/2024,LearnLocal AI,EdTech,Coding Bootcamp,K-12,1000000,2000000,8,79,High,25.9,Low,63,Low,95,74,29,Medium,Content quality issues,Delhi,Elevation Capital,Series B,3784261082,2024
38,21/11/2024,InsureNow Pro,FinTech,Crypto Exchange,Bangalore,1000000,200000000,4,79,High,26.5,Medium,73,Low,80,68,41,Medium,Regulatory challenges,Pune,Sequoia Capital,Series C,23696405548,2024
39,30/09/2025,GreenBuild AI,CleanTech,Solar Rooftop,Industrial,100000000,500000000,40,92,Low,30.9,High,67,Low,91,95,29,High,High capex,Hyderabad,Lightspeed,Seed,112150102,2025
40,02/01/2025,SoilSmart AI,AgriTech,Precision Farming,Tier 2,8000000,20000000,6,70,Low,23.3,Medium,72,Low,94,85,25,Medium,Last-mile connectivity,Delhi,Accel,Series C,24323459904,2025
41,16/03/2024,MindCare Network,HealthTech,Health Insurance,Tier 1,10000000,150000000,20,89,Medium,22.4,High,77,Low,98,87,26,Medium,Regulatory approvals,Chennai,Bessemer,Series B,1915880947,2024
42,12/09/2025,InsureNow Pro,FinTech,Insurance Tech,Urban,2000000,20000000,6,94,High,22.3,Medium,59,Low,90,68,42,Medium,Trust deficit,Gurugram,Sequoia Capital,Series C,6195281916,2025
43,24/07/2024,DocConnect Plus,HealthTech,Wearables,Corporate Wellness,5000000,50000000,12,95,Medium,31.6,High,74,Low,96,82,37,Medium,Regulatory approvals,Bangalore,Bessemer,Series A,2312420443,2024
44,27/09/2024,SafeVault Technologies,FinTech,Wealth Management,Tier 1 Cities,2000000,200000000,8,78,High,29.5,Medium,70,Low,70,84,42,Medium,Trust deficit,Pune,Accel,Series A,1718282456,2024
45,19/05/2025,KisanPro Technologies,AgriTech,Cold Chain,Agri Cooperatives,1000000,300000000,18,76,Low,32.7,Medium,77,Low,91,82,32,Medium,Seasonality,Hyderabad,Omnivore,Series C,9044960981,2025
46,03/12/2025,TutorAI Plus,EdTech,Coding Bootcamp,Pan-India,3000000,30000000,5,73,High,27.3,Low,59,Low,82,76,32,Medium,Content quality issues,Bangalore,Owl Ventures,Seed,275356030,2025
47,02/12/2024,DirectBuy Hub,E-Commerce,D2C Brand,Rural,2000000,50000000,50,80,High,20.0,Low,58,Medium,55,54,18,High,Unit economics,Chennai,Accel,Series B,2257245230,2024
48,04/04/2025,APIBridge Plus,SaaS/Technology,IoT Platform,Global,10000000,50000000,50,82,High,35.1,High,71,Low,69,82,28,Medium,Long sales cycles,Mumbai,Lightspeed,Series C,5822247252,2025
49,09/05/2024,SmartClass Hub,EdTech,Assessment Tool,K-12,1000000,100000000,25,86,High,18.8,Low,61,Low,93,73,34,Medium,Content quality issues,Chennai,Accel,Series A,1057692162,2024
50,16/11/2024,GrowthSchool Network,EdTech,Language Learning,Tier 2 Cities,500000,100000000,3,72,High,25.8,Low,47,Low,93,73,33,Medium,Content quality issues,Mumbai,WestBridge,Seed,272650045,2024
51,21/10/2024,WealthWise Labs,FinTech,Digital Lending,Pan-India,1000000,20000000,12,82,High,32.4,Medium,66,Low,87,76,29,Medium,Regulatory challenges,Mumbai,Nexus Venture,Series C,4823967094,2024
52,04/07/2024,GoldLink Solutions,FinTech,Tax Filing,Delhi NCR,5000000,25000000,4,77,High,30.7,Medium,61,Low,82,78,35,Medium,Regulatory challenges,Gurugram,Tiger Global,Series B,2622128790,2024
53,21/11/2025,MoneyMap Labs,FinTech,Wealth Management,Delhi NCR,5000000,200000000,20,89,High,25.0,Medium,61,Low,86,68,33,Medium,Regulatory challenges,Gurugram,Sequoia Capital,Series D,18235559572,2025
54,04/08/2024,CropAI Labs,AgriTech,Crop Insurance,Pan-India,300000,5000000,18,78,Low,24.8,Medium,72,Low,93,85,26,Medium,Last-mile connectivity,Bangalore,Sequoia,Series C,24822266943,2024
55,23/10/2024,TruckEasy AI,Logistics,Last Mile Delivery,Urban,5000000,2000000000,25,72,High,18.8,Medium,63,Medium,67,68,29,High,Asset intensity,Delhi,GIC,Series C,11640520154,2024
56,27/06/2025,CareerFirst Platform,EdTech,Coding Bootcamp,Tier 2 Cities,500000,10000000,3,74,High,18.3,Low,50,Low,84,72,24,Medium,Content quality issues,Hyderabad,Elevation Capital,Series C,7558613553,2025
57,08/10/2024,GreenChain India,AgriTech,Agri Lending,Agri Cooperatives,300000,80000000,18,79,Low,22.6,Medium,71,Low,98,87,19,Medium,Last-mile connectivity,Ahmedabad,Omnivore,Series C,14255493245,2024
58,28/05/2025,SecureNet India,SaaS/Technology,Cloud Infrastructure,Global,5000000,10000000,50,92,High,25.1,High,62,Low,74,82,44,Medium,Pricing pressure,Hyderabad,Matrix,Series B,6011847195,2025
59,08/03/2024,SunPower Technologies,CleanTech,Clean Cooking,Tier 1,20000000,500000000,80,79,Low,38.3,High,69,Low,93,89,32,High,High capex,Ahmedabad,Nuveen,Seed,258596244,2024
60,04/06/2025,FreightHub India,Logistics,Fleet Management,Urban,5000000,100000000,25,85,High,16.1,Medium,64,Medium,64,57,24,High,Thin margins,Kolkata,GIC,Series E,72111120873,2025
61,15/06/2024,DocConnect Hub,HealthTech,Fitness App,Senior Citizens,500000,500000000,12,87,Medium,31.6,High,74,Low,97,86,28,Medium,Data privacy issues,Delhi,Sequoia Capital,Series C,14050709078,2024
62,14/06/2024,WarehouseX Hub,Logistics,Warehousing,Urban,1000000,2000000000,25,87,High,24.3,Medium,76,Medium,63,64,21,High,Thin margins,Chennai,Warburg Pincus,Series D,18303679874,2024
63,09/02/2025,SafeVault Network,FinTech,Stock Trading App,Bangalore,500000,50000000,6,75,High,23.4,Medium,58,Low,90,75,40,Medium,High competition from incumbents,Bangalore,Tiger Global,Series B,6927401732,2025
64,02/06/2024,ResellerNet Hub,E-Commerce,Live Commerce,Urban,500000,200000000,10,81,High,13.2,Low,62,Medium,68,70,30,High,Flipkart/Amazon dominance,Bangalore,Elevation Capital,Seed,391854728,2024
65,15/03/2025,FarmTech Hub,AgriTech,Agri Lending,Tier 2,8000000,20000000,4,81,Low,37.6,Medium,62,Low,93,95,26,Medium,Last-mile connectivity,Bangalore,Lightspeed,Series C,12542334350,2025
66,03/09/2024,GreenBuild Technologies,CleanTech,Waste Management,Industrial,5000000,20000000,20,92,Low,38.5,High,70,Low,98,92,35,High,Long payback period,Delhi,Blume,Seed,362331049,2024
67,11/02/2025,HomeDeal Pro,Real Estate,Construction Tech,Urban,10000000,1000000000,20,66,Medium,16.7,Low,75,Medium,70,58,30,High,Long cycles,Hyderabad,Elevation,Series D,30653337306,2025
68,21/03/2024,QuickRoute Hub,Logistics,Warehousing,B2B,20000000,500000000,10,72,High,17.6,Medium,69,Medium,69,69,29,High,Fuel cost volatility,Mumbai,Prosus,Series E,48309565946,2024
69,17/03/2024,CreditBridge AI,FinTech,Digital Lending,Mumbai,1000000,5000000,6,94,High,29.5,Medium,69,Low,71,69,29,Medium,High competition from incumbents,Gurugram,Accel,Series C,12489932254,2024
70,10/01/2025,RentPro Network,Real Estate,Construction Tech,Tier 1,2000000,50000000,12,80,Medium,13.2,Low,68,Medium,70,63,29,High,Long cycles,Pune,Tiger Global,Series C,23290555969,2025
71,29/11/2025,TutorAI Network,EdTech,Exam Prep,K-12,1000000,30000000,5,90,High,17.3,Low,56,Low,87,73,25,Medium,Post-COVID demand drop,Hyderabad,Sequoia Capital,Seed,294539486,2025
72,12/11/2024,GrowthSchool Pro,EdTech,Career Platform,Rural,3000000,15000000,8,90,High,16.0,Low,59,Low,91,74,36,Medium,Content quality issues,Mumbai,Owl Ventures,Series A,572755391,2024
73,20/12/2024,ResellerNet Labs,E-Commerce,Social Commerce,Rural,2000000,200000000,10,81,High,18.1,Low,57,Medium,71,70,20,High,Flipkart/Amazon dominance,Mumbai,DST Global,Series A,1996642230,2024
74,28/09/2024,GameZone Hub,Media/Entertainment,News App,Regional Language,300000,500000000,60,77,High,20.3,Medium,64,Low,70,59,27,High,Monetisation difficulty,Delhi,Sequoia,Series C,14028476117,2024
75,27/05/2024,NewsFlash Network,Media/Entertainment,Creator Economy,Youth,1000000,150000000,60,85,High,13.4,Medium,62,Low,69,55,19,High,User retention,Bangalore,Lightspeed,Seed,77196334,2024
76,13/07/2024,EcoGrid Pro,CleanTech,Clean Cooking,Tier 1,100000000,500000000,40,75,Low,32.3,High,77,Low,96,92,27,High,High capex,Pune,Nuveen,Seed,77150910,2024
77,14/01/2026,SoilSmart AI,AgriTech,Agri Lending,Rural,8000000,48000000,10,82,Low,26.6,Medium,72,Low,93,92,30,Medium,Last-mile connectivity,Ahmedabad,Sequoia,Seed,131872051,2026
78,08/09/2025,ResellerNet AI,E-Commerce,Live Commerce,Pan-India,500000,10000000,10,82,High,20.0,Low,71,Medium,69,54,27,High,Flipkart/Amazon dominance,Delhi,Accel,Series D,23429191687,2025
79,02/11/2024,LiveStage India,Media/Entertainment,Creator Economy,Tier 2,300000,500000000,60,77,High,22.4,Medium,55,Low,74,67,19,High,Monetisation difficulty,Chennai,Kalaari,Series A,1763619031,2024
80,02/02/2024,LiveBuy Technologies,E-Commerce,B2B Marketplace,Pan-India,20000000,200000000,30,76,High,16.1,Low,61,Medium,68,66,30,High,Flipkart/Amazon dominance,Jaipur,Elevation Capital,Series E,45843109713,2024
81,26/06/2024,WasteToWorth Plus,CleanTech,Carbon Credits,Government,20000000,500000000,80,90,Low,34.8,High,72,Low,92,93,29,High,High capex,Pune,Accel,Series A,1761810838,2024
82,23/11/2025,PodcastPro AI,Media/Entertainment,News App,Tier 2,1000000,150000000,5,77,High,24.4,Medium,57,Low,66,66,25,High,User retention,Bangalore,Sequoia,Series A,1992159282,2025
83,19/08/2024,SpaceFinder Platform,Real Estate,Co-working,Urban,200000000,1000000000,40,68,Medium,14.8,Low,69,Medium,62,72,20,High,Long cycles,Hyderabad,Elevation,Series B,2333045694,2024
84,28/06/2024,FundRight Solutions,FinTech,Payment Gateway,Bangalore,5000000,20000000,8,76,High,18.2,Medium,73,Low,89,68,42,Medium,Regulatory challenges,Delhi,Accel,Series D,20580937466,2024
85,25/10/2025,DataPulse Solutions,SaaS/Technology,HR Tech,Enterprise,5000000,50000000,8,91,High,37.4,High,67,Low,73,84,38,Medium,Long sales cycles,Delhi,Lightspeed,Seed,171179760,2025
86,03/12/2024,HarvestHub Hub,AgriTech,Supply Chain,Rural,3000000,80000000,6,66,Low,32.7,Medium,74,Low,89,83,24,Medium,Last-mile connectivity,Nagpur,Lightspeed,Series B,5789130734,2024
87,04/02/2026,NoCoder Network,SaaS/Technology,No-Code Builder,Startups,10000000,50000000,8,92,High,35.6,High,57,Low,76,82,44,Medium,Pricing pressure,Bangalore,Tiger Global,Series D,34023483645,2026
88,28/03/2025,SpaceHub Platform,Real Estate,REITs,Corporate,2000000,5000000000,8,79,Medium,9.3,Low,78,Medium,76,56,26,High,Long cycles,Chennai,Nexus,Series A,425948697,2025
89,08/07/2025,SkillUp Technologies,EdTech,Ed Games,Pan-India,1000000,100000000,5,74,High,25.0,Low,65,Low,93,81,36,Medium,High CAC,Hyderabad,Elevation Capital,Series C,7155881363,2025
90,25/06/2025,LastMile Platform,Logistics,Last Mile Delivery,Pan-India,20000000,2000000000,100,83,High,19.9,Medium,67,Medium,67,69,25,High,Thin margins,Mumbai,Warburg Pincus,Series E,18102762174,2025
91,31/08/2025,SkillUp Pro,EdTech,Assessment Tool,College Students,200000,10000000,3,82,High,20.7,Low,62,Low,86,71,24,Medium,Content quality issues,Mumbai,WestBridge,Series B,3275545432,2025
92,24/07/2025,WealthWise Solutions,FinTech,Crypto Exchange,Mumbai,5000000,40000000,12,91,High,23.4,Medium,68,Low,83,69,32,Medium,Regulatory challenges,Pune,Tiger Global,Series C,23396238496,2025
93,02/03/2025,PacknGo Plus,Logistics,Warehousing,E-Commerce,5000000,500000000,15,80,High,21.1,Medium,74,Medium,71,57,28,High,Fuel cost volatility,Delhi,Tiger Global,Series B,2113216497,2025
94,06/11/2024,SolarEase Platform,CleanTech,Green Hydrogen,Urban,100000000,600000000,40,82,Low,43.8,High,74,Low,94,92,31,High,Policy dependence,Pune,Accel,Series D,45994075124,2024
95,16/02/2024,ReturnEase Platform,Logistics,Warehousing,Pan-India,20000000,2000000000,25,74,High,16.2,Medium,67,Medium,72,73,33,High,Thin margins,Kolkata,Prosus,Series E,82398484032,2024
96,15/05/2025,CoWorkX Plus,Real Estate,Co-working,Students,2000000,50000000,8,65,Medium,12.1,Low,72,Medium,64,59,18,High,Capital intensity,Hyderabad,Helion,Series C,18952436882,2025
97,13/01/2024,SwiftShip Plus,Logistics,Cross Border Shipping,B2B,20000000,180000000,15,73,High,24.1,Medium,76,Medium,64,62,23,High,Fuel cost volatility,Bangalore,GIC,Series B,2555582880,2024
98,01/12/2025,KisanPro India,AgriTech,Agri Marketplace,Farmer Communities,8000000,300000000,30,80,Low,22.9,Medium,60,Low,96,83,19,Medium,Seasonality,Nagpur,Beenext,Series B,2146885200,2025
99,01/12/2025,SmartClass Plus,EdTech,Assessment Tool,College Students,200000,10000000,8,70,High,27.5,Low,63,Low,84,82,36,Medium,Post-COVID demand drop,Mumbai,WestBridge,Series A,1932045128,2025
100,27/05/2025,QuizGenius Network,EdTech,Online Tutoring,Pan-India,3000000,10000000,3,80,High,22.9,Low,64,Low,92,80,22,Medium,Content quality issues,Hyderabad,WestBridge,Series C,13854595550,2025
101,09/09/2024,AgriPay Technologies,AgriTech,Agri Marketplace,Pan-India,1000000,300000000,6,77,Low,27.1,Medium,63,Low,86,78,22,Medium,Seasonality,Pune,Sequoia,Seed,134564342,2024
102,01/04/2024,PaisaPlus Plus,FinTech,Neo Banking,Mumbai,2000000,200000000,4,84,High,25.0,Medium,57,Low,87,72,37,Medium,Trust deficit,Hyderabad,Tiger Global,Series C,10191166650,2024
103,07/03/2025,HarvestHub Pro,AgriTech,Agri Marketplace,Pan-India,3000000,20000000,18,84,Low,31.9,Medium,74,Low,86,82,22,Medium,Farmer digital literacy,Pune,Beenext,Series C,22453361172,2025
104,12/12/2025,GameZone Pro,Media/Entertainment,Creator Economy,Urban,20000000,150000000,15,83,High,24.6,Medium,62,Low,65,64,19,High,User retention,Mumbai,Matrix,Series A,1958765044,2025
105,22/02/2025,TestAce Pro,EdTech,Skill Courses,College Students,1000000,10000000,8,74,High,24.3,Low,57,Low,82,84,31,Medium,High CAC,Hyderabad,Owl Ventures,Series C,17485094221,2025
106,19/06/2024,EcoStore Hub,CleanTech,EV Charging,Government,100000000,500000000,40,78,Low,30.3,High,73,Low,91,93,27,High,Policy dependence,Hyderabad,Accel,Series C,14996005230,2024
107,22/12/2024,WellnessHub Network,HealthTech,Hospital SaaS,Urban,10000000,150000000,20,83,Medium,25.3,High,79,Low,90,74,29,Medium,Regulatory approvals,Bangalore,Accel,Series B,4403576324,2024
108,18/04/2025,WarehouseX AI,Logistics,Warehousing,Tier 2,50000000,2000000000,10,76,High,18.9,Medium,73,Medium,72,55,31,High,Thin margins,Bangalore,Tiger Global,Series E,45926973522,2025
109,17/11/2025,DairyTech Plus,AgriTech,Agri Lending,Agri Cooperatives,8000000,300000000,30,68,Low,27.6,Medium,74,Low,94,83,31,Medium,Last-mile connectivity,Ahmedabad,Sequoia,Seed,135573522,2025
110,01/02/2025,RentPro Hub,Real Estate,PropTech SaaS,Students,200000000,5000000000,12,80,Medium,14.4,Low,70,Medium,79,60,25,High,Long cycles,Bangalore,Tiger Global,Series C,4389806672,2025
111,01/06/2025,SpaceFinder Pro,Real Estate,Rental Platform,Corporate,200000000,5000000000,40,70,Medium,8.8,Low,65,Medium,69,64,18,High,Long cycles,Pune,Tiger Global,Series C,20818071788,2025
112,26/04/2024,CreatorHub Plus,Media/Entertainment,Creator Economy,Regional Language,300000,500000000,60,74,High,24.9,Medium,58,Low,75,59,19,High,Content cost,Delhi,Sequoia,Series B,4325497144,2024
113,09/10/2025,RegionalVoice Solutions,Media/Entertainment,Live Streaming,Urban,1000000,30000000,5,79,High,18.9,Medium,60,Low,65,61,19,High,Monetisation difficulty,Chennai,Matrix,Seed,136723067,2025
114,29/05/2024,PureGoods Network,E-Commerce,B2B Marketplace,Urban,20000000,50000000,50,80,High,18.3,Low,67,Medium,69,52,28,High,Logistics costs,Chennai,Elevation Capital,Series E,68876646002,2024
115,12/10/2025,AIPlatform Network,SaaS/Technology,ERP,Startups,10000000,50000000,25,95,High,25.8,High,63,Low,70,77,38,Medium,Pricing pressure,Hyderabad,Matrix,Series D,12813808130,2025
116,27/03/2025,MindCare India,HealthTech,Home Healthcare,Urban,2000000,150000000,8,88,Medium,21.1,High,76,Low,89,74,30,Medium,Data privacy issues,Bangalore,Sequoia Capital,Series C,13795936967,2025
117,20/03/2024,SecureNet Hub,SaaS/Technology,DevTools,Startups,10000000,30000000,15,95,High,24.2,High,68,Low,64,83,30,Medium,Long sales cycles,Bangalore,Lightspeed,Seed,114037370,2024
118,09/01/2024,StoryTell Solutions,Media/Entertainment,Regional Content,Tier 2,1000000,30000000,30,82,High,23.2,Medium,57,Low,58,56,27,High,Content cost,Noida,Kalaari,Series C,9728973192,2024
119,06/09/2025,StoryTell Labs,Media/Entertainment,OTT Platform,Tier 2,1000000,30000000,30,77,High,20.4,Medium,62,Low,70,64,16,High,Content cost,Noida,Sequoia,Seed,411787598,2025
120,20/02/2026,MindCare Technologies,HealthTech,Teleconsultation,Corporate Wellness,500000,10000000,12,86,Medium,20.5,High,66,Low,97,84,33,Medium,Doctor onboarding,Hyderabad,Eight Roads,Series C,16226201044,2026
121,07/06/2025,EduPath Solutions,EdTech,Career Platform,Tier 2 Cities,3000000,21000000,15,77,High,15.8,Low,47,Low,93,73,29,Medium,Content quality issues,Bangalore,Owl Ventures,Series B,3207757292,2025
122,12/03/2026,ConstructAI Solutions,Real Estate,Smart Homes,Tier 1,50000000,150000000,20,78,Medium,10.7,Low,67,Medium,70,57,25,High,Long cycles,Delhi,Helion,Series A,2005798757,2026
123,21/08/2024,QuizGenius Plus,EdTech,Online Tutoring,Pan-India,200000,10000000,3,85,High,19.7,Low,49,Low,85,71,30,Medium,Content quality issues,Mumbai,Elevation Capital,Series B,5255570744,2024
124,02/07/2024,CashSmart Plus,FinTech,Payment Gateway,Bangalore,500000,200000000,8,84,High,23.6,Medium,72,Low,84,65,33,Medium,High competition from incumbents,Pune,Accel,Series B,8301186902,2024
125,07/01/2024,FitLife India,HealthTech,Mental Health App,Corporate Wellness,5000000,10000000,12,80,Medium,29.1,High,77,Low,98,81,26,Medium,Regulatory approvals,Mumbai,Eight Roads,Series C,6260132692,2024
126,14/04/2025,GreenBuild Technologies,CleanTech,Waste Management,Urban,5000000,2000000000,8,76,Low,40.9,High,69,Low,91,89,28,High,Policy dependence,Ahmedabad,SoftBank,Series B,4288123128,2025
127,05/04/2025,MindCare Network,HealthTech,Home Healthcare,Pan-India,5000000,50000000,20,89,Medium,25.6,High,68,Low,86,77,37,Medium,Data privacy issues,Pune,Lightspeed,Series D,40230276870,2025
128,24/11/2025,LendEasy Labs,FinTech,BNPL,Pan-India,5000000,200000000,20,92,High,22.2,Medium,69,Low,73,69,29,Medium,High competition from incumbents,Mumbai,Sequoia Capital,Series A,1539848132,2025
129,17/03/2024,FarmTech Technologies,AgriTech,Cold Chain,Farmer Communities,1000000,5000000,10,68,Low,22.7,Medium,74,Low,85,83,32,Medium,Last-mile connectivity,Nagpur,Beenext,Series C,8048363097,2024
130,01/06/2024,CloudOps Hub,SaaS/Technology,IoT Platform,Startups,2000000,200000000,25,88,High,37.9,High,70,Low,61,70,36,Medium,Churn,Mumbai,Accel,Series A,2184744518,2024
